:START_ID(ProductionBase),:END_ID(ProductLine),:TYPE,source
base_zhengzhou_cn,iPhone,MANUFACTURED_AT,base_appleinsider;base_techbloat;base_deluair
base_zhengzhou_cn,iPad,MANUFACTURED_AT,base_appleinsider;base_techbloat;base_deluair
base_shenzhen_cn,iPhone,MANUFACTURED_AT,base_appleinsider;base_jingjiribao
base_shenzhen_cn,iPad,MANUFACTURED_AT,base_appleinsider;base_jingjiribao
base_chengdu_cn,iPad,MANUFACTURED_AT,base_china;base_jingjiribao;base_sogou
base_chengdu_cn,Mac,MANUFACTURED_AT,base_china;base_jingjiribao;base_sogou
base_chengdu_cn,Wearable,MANUFACTURED_AT,base_china;base_jingjiribao;base_sogou
base_shanghai_cn,iPhone,MANUFACTURED_AT,base_appleinsider;base_techbloat
base_shanghai_cn,iPad,MANUFACTURED_AT,base_appleinsider;base_techbloat
base_kunshan_cn,iPhone,MANUFACTURED_AT,base_deluair;base_appleinsider
base_taiwan_quanta,Mac,MANUFACTURED_AT,base_appleinsider;base_ifeng
base_taiwan_quanta,Wearable,MANUFACTURED_AT,base_appleinsider;base_ifeng
base_tamilnadu_in,iPhone,MANUFACTURED_AT,base_hindustantimes;base_outlookbiz;base_nfnews
base_tamilnadu_in,iPad,MANUFACTURED_AT,base_hindustantimes;base_outlookbiz;base_nfnews
base_karnataka_in,iPhone,MANUFACTURED_AT,base_outlookbiz;base_nfnews;base_deluair
base_karnataka_in,iPad,MANUFACTURED_AT,base_outlookbiz;base_nfnews;base_deluair
base_telangana_in,Audio,MANUFACTURED_AT,base_appleinsider;base_deluair
base_bacninh_vn,Audio,MANUFACTURED_AT,base_sav;base_itpc;base_itpc_goertek
base_bacninh_vn,Wearable,MANUFACTURED_AT,base_sav;base_itpc;base_itpc_goertek
base_bacninh_vn,Spatial,MANUFACTURED_AT,base_sav;base_itpc;base_itpc_goertek
base_bacninh_vn,Mac,MANUFACTURED_AT,base_sav;base_itpc;base_itpc_goertek
base_bacninh_vn,iPad,MANUFACTURED_AT,base_sav;base_itpc;base_itpc_goertek
base_bacgiang_vn,Audio,MANUFACTURED_AT,base_deluair;base_itpc;base_aiqicha
base_bacgiang_vn,Wearable,MANUFACTURED_AT,base_deluair;base_itpc;base_aiqicha
base_bacgiang_vn,iPad,MANUFACTURED_AT,base_deluair;base_itpc;base_aiqicha
base_nghean_vn,Wearable,MANUFACTURED_AT,base_itpc
base_quangninh_vn,Mac,MANUFACTURED_AT,base_aiqicha;base_itpc
base_quangninh_vn,iPad,MANUFACTURED_AT,base_aiqicha;base_itpc
base_haiphong_vn,Mac,MANUFACTURED_AT,base_sav
base_haiphong_vn,iPad,MANUFACTURED_AT,base_sav
base_houston_us,Mac,MANUFACTURED_AT,base_stheadline;base_tomshardware;base_cool3c
base_cork_ie,Mac,MANUFACTURED_AT,base_appleinsider;base_ifeng
base_brazil_br,iPhone,MANUFACTURED_AT,base_appleinsider;base_aiqicha_rank
