:START_ID(ProductionBase),:END_ID(Supplier),:TYPE,source
base_zhengzhou_cn,foxconn,OPERATED_BY,base_appleinsider;base_techbloat;base_deluair
base_shenzhen_cn,foxconn,OPERATED_BY,base_appleinsider;base_jingjiribao
base_chengdu_cn,foxconn,OPERATED_BY,base_china;base_jingjiribao;base_sogou
base_shanghai_cn,pegatron,OPERATED_BY,base_appleinsider;base_techbloat
base_kunshan_cn,luxshare,OPERATED_BY,base_deluair;base_appleinsider
base_taiwan_quanta,quanta,OPERATED_BY,base_appleinsider;base_ifeng
base_tamilnadu_in,foxconn,OPERATED_BY,base_hindustantimes;base_outlookbiz;base_nfnews
base_karnataka_in,foxconn,OPERATED_BY,base_outlookbiz;base_nfnews;base_deluair
base_telangana_in,foxconn,OPERATED_BY,base_appleinsider;base_deluair
base_bacninh_vn,foxconn,OPERATED_BY,base_sav;base_itpc;base_itpc_goertek
base_bacgiang_vn,luxshare,OPERATED_BY,base_deluair;base_itpc;base_aiqicha
base_nghean_vn,luxshare,OPERATED_BY,base_itpc
base_quangninh_vn,foxconn,OPERATED_BY,base_aiqicha;base_itpc
base_haiphong_vn,pegatron,OPERATED_BY,base_sav
base_houston_us,foxconn,OPERATED_BY,base_stheadline;base_tomshardware;base_cool3c
base_cork_ie,apple,OPERATED_BY,base_appleinsider;base_ifeng
base_brazil_br,foxconn,OPERATED_BY,base_appleinsider;base_aiqicha_rank
