:START_ID(Product),:END_ID(Supplier),:TYPE,source
iphone_17,foxconn,ASSEMBLED_BY,apple_supplier_list;nikkei
iphone_17,luxshare,ASSEMBLED_BY,apple_supplier_list;nikkei
iphone_17,pegatron,ASSEMBLED_BY,apple_supplier_list;nikkei
iphone_17_air,foxconn,ASSEMBLED_BY,apple_supplier_list;nikkei
iphone_17_air,luxshare,ASSEMBLED_BY,apple_supplier_list;nikkei
iphone_17_air,pegatron,ASSEMBLED_BY,apple_supplier_list;nikkei
iphone_17_pro,foxconn,ASSEMBLED_BY,apple_supplier_list;nikkei
iphone_17_pro,luxshare,ASSEMBLED_BY,apple_supplier_list;nikkei
iphone_17_pro,pegatron,ASSEMBLED_BY,apple_supplier_list;nikkei
iphone_17_pmax,foxconn,ASSEMBLED_BY,apple_supplier_list;nikkei
iphone_17_pmax,pegatron,ASSEMBLED_BY,apple_supplier_list;nikkei
mba_13_m4,foxconn,ASSEMBLED_BY,apple_supplier_list;nikkei
mba_13_m4,wistron,ASSEMBLED_BY,apple_supplier_list;nikkei
mba_15_m4,foxconn,ASSEMBLED_BY,apple_supplier_list;nikkei
mba_15_m4,wistron,ASSEMBLED_BY,apple_supplier_list;nikkei
mbp_14_m4,foxconn,ASSEMBLED_BY,apple_supplier_list;nikkei
mbp_14_m4,wistron,ASSEMBLED_BY,apple_supplier_list;nikkei
mbp_16_m4,foxconn,ASSEMBLED_BY,apple_supplier_list;nikkei
mbp_16_m4,wistron,ASSEMBLED_BY,apple_supplier_list;nikkei
imac_24_m4,foxconn,ASSEMBLED_BY,apple_supplier_list;nikkei
macmini_m4,foxconn,ASSEMBLED_BY,apple_supplier_list;nikkei
macstudio_m4,foxconn,ASSEMBLED_BY,apple_supplier_list;nikkei
macpro_m2u,foxconn,ASSEMBLED_BY,apple_supplier_list;nikkei
ipadpro_11_m4,foxconn,ASSEMBLED_BY,apple_supplier_list;nikkei
ipadpro_13_m4,foxconn,ASSEMBLED_BY,apple_supplier_list;nikkei
ipadair_11_m3,foxconn,ASSEMBLED_BY,apple_supplier_list;nikkei
ipadair_13_m3,foxconn,ASSEMBLED_BY,apple_supplier_list;nikkei
ipadmini_a17,foxconn,ASSEMBLED_BY,apple_supplier_list;nikkei
ipad_11_a16,foxconn,ASSEMBLED_BY,apple_supplier_list;nikkei
watch_s10,luxshare,ASSEMBLED_BY,apple_supplier_list;nikkei
watch_s10,quanta,ASSEMBLED_BY,apple_supplier_list;nikkei
watch_s10,foxconn,ASSEMBLED_BY,apple_supplier_list;nikkei
watch_ultra3,luxshare,ASSEMBLED_BY,apple_supplier_list;nikkei
watch_se3,quanta,ASSEMBLED_BY,apple_supplier_list;nikkei
visionpro_m2,luxshare,ASSEMBLED_BY,apple_supplier_list;nikkei
visionpro_m5,luxshare,ASSEMBLED_BY,apple_supplier_list;nikkei
airpods_pro3,luxshare,ASSEMBLED_BY,apple_supplier_list;nikkei
airpods_pro3,goertek,ASSEMBLED_BY,apple_supplier_list;nikkei
airpods_4,luxshare,ASSEMBLED_BY,apple_supplier_list;nikkei
airpods_4,goertek,ASSEMBLED_BY,apple_supplier_list;nikkei
airpodsmax_usbc,luxshare,ASSEMBLED_BY,apple_supplier_list;nikkei
airpodsmax_usbc,goertek,ASSEMBLED_BY,apple_supplier_list;nikkei
homepod_2,luxshare,ASSEMBLED_BY,apple_supplier_list;nikkei
homepod_2,goertek,ASSEMBLED_BY,apple_supplier_list;nikkei
homepod_mini,luxshare,ASSEMBLED_BY,apple_supplier_list;nikkei
