supplier_id:ID(Supplier),name,english_name,short_name,country,region,category,tier:int,:LABEL
tsmc,台湾积体电路制造股份有限公司,Taiwan Semiconductor Manufacturing Company (TSMC),TSMC / 台积电,Taiwan,East Asia,Foundry,1,Supplier
arm,安谋控股公司,Arm Holdings plc,Arm,UK,Europe,IP/EDA,1,Supplier
sdc,三星显示有限公司,"Samsung Display Co., Ltd.",SDC / 三星显示,South Korea,East Asia,Display,1,Supplier
lgd,乐金显示株式会社,"LG Display Co., Ltd.",LGD / LG显示,South Korea,East Asia,Display,1,Supplier
boe,京东方科技集团股份有限公司,"BOE Technology Group Co., Ltd.",BOE / 京东方,China,East Asia,Display,1,Supplier
sharp,夏普株式会社,Sharp Corporation,Sharp / 夏普,Japan,East Asia,Display,1,Supplier
sony,索尼集团株式会社,Sony Group Corporation,Sony / 索尼,Japan,East Asia,CIS/Optical,1,Supplier
largan,大立光电股份有限公司,"Largan Precision Co., Ltd.",Largan / 大立光,Taiwan,East Asia,Optics,1,Supplier
genius,玉晶光电股份有限公司,"Genius Electronic Optical Co., Ltd.",Genius / 玉晶光,Taiwan,East Asia,Optics,1,Supplier
sunny,舜宇光学科技(集团)有限公司,"Sunny Optical Technology (Group) Co., Ltd.",Sunny / 舜宇光学,China,East Asia,Optics,1,Supplier
alps,阿尔卑斯阿尔派株式会社,"Alps Alpine Co., Ltd.",Alps / 阿尔卑斯,Japan,East Asia,Mech/Actuator,2,Supplier
mitsumi,三美电机株式会社,"Mitsumi Electric Co., Ltd.",Mitsumi / 三美,Japan,East Asia,Mech/Actuator,2,Supplier
samsung_elec,三星电子株式会社,"Samsung Electronics Co., Ltd.",SEC / 三星电子,South Korea,East Asia,Memory,1,Supplier
skhynix,SK海力士株式会社,SK hynix Inc.,SK hynix / SK海力士,South Korea,East Asia,Memory,1,Supplier
micron,美光科技股份有限公司,"Micron Technology, Inc.",Micron / 美光,USA,North America,Memory,1,Supplier
kioxia,铠侠株式会社,Kioxia Corporation,Kioxia / 铠侠,Japan,East Asia,Memory,1,Supplier
wdc,西部数据公司,Western Digital Corporation,WD / 西部数据,USA,North America,Memory,1,Supplier
qualcomm,高通公司,Qualcomm Incorporated,Qualcomm / 高通,USA,North America,Semiconductor,1,Supplier
broadcom,博通公司,Broadcom Inc.,Broadcom / 博通,USA,North America,Semiconductor,1,Supplier
cirrus,凌云逻辑公司,"Cirrus Logic, Inc.",Cirrus / 凌云逻辑,USA,North America,Semiconductor,2,Supplier
ti,德州仪器公司,Texas Instruments Incorporated,TI / 德州仪器,USA,North America,Semiconductor,1,Supplier
st,意法半导体集团,STMicroelectronics N.V.,ST / 意法半导体,Switzerland/France,Europe,Semiconductor,1,Supplier
bosch,罗伯特·博世有限公司,Robert Bosch GmbH,Bosch / 博世,Germany,Europe,Sensor,2,Supplier
tdk,TDK株式会社,TDK Corporation,TDK,Japan,East Asia,Passive/Battery,2,Supplier
murata,株式会社村田制作所,"Murata Manufacturing Co., Ltd.",Murata / 村田,Japan,East Asia,Passive,2,Supplier
knowles,楼氏电子公司,Knowles Corporation,Knowles / 楼氏,USA,North America,Acoustics,2,Supplier
aac,瑞声科技控股有限公司,AAC Technologies Holdings Inc.,AAC / 瑞声科技,China,East Asia,Acoustics,2,Supplier
goertek,歌尔股份有限公司,GoerTek Inc.,GoerTek / 歌尔股份,China,East Asia,Assembly/Acoustics,2,Supplier
corning,康宁公司,Corning Incorporated,Corning / 康宁,USA,North America,Material,1,Supplier
lens_tech,蓝思科技股份有限公司,"Lens Technology Co., Ltd.",Lens / 蓝思科技,China,East Asia,Glass/Enclosure,1,Supplier
berne,伯恩光学(惠州)有限公司,"Berne Optics (Huizhou) Co., Ltd.",Berne / 伯恩光学,China,East Asia,Glass,1,Supplier
foxconn,鸿海精密工业股份有限公司,"Hon Hai Precision Industry Co., Ltd. (Foxconn)",Foxconn / 富士康,Taiwan/China,East Asia,Assembly,1,Supplier
luxshare,立讯精密工业股份有限公司,"Luxshare Precision Industry Co., Ltd.",Luxshare / 立讯精密,China,East Asia,Assembly,1,Supplier
